cod_dane,departamento,"periodo 2019-2020","PERIODO 2018-2017","periodo 2015-2016","periodo 2014-2013"
05000,"Antioquia                                         ","379620270378,0628","554214517718,2917","521540336995,3786","645578512810,7323"
08000,"Atlántico                                         ","191701940725,2906","306371955793,8995","264901062601,174","317002576261,3894"
13000,"Bolívar                                           ","390237978887,5333","540509756909,6123","484816645437,9927","583562354304,4106"
15000,"Boyacá                                            ","240080933053,1994","368522447748,3741","351079211741,4445","444784686928,5078"
17000,"Caldas                                            ","105265653554,8488","165425154153,6952","147515065959,3476","178807632614,4953"
18000,"Caquetá                                           ","149742115804,5048","240284841537,7743","205097849741,2938","247885397371,6548"
19000,"Cauca                                             ","274672403045,6947","434613271448,1813","381995820702,729","461858022918,744"
20000,"Cesar                                             ","402318639160,3837","571417414210,2795","509924247680,3211","628721306612,0592"
23000,"Córdoba                                           ","377367824155,6561","575207383865,312","516558541193,6934","632565042449,2122"
25000,"Cundinamarca                                      ","210875577906,7307","319672829547,6931","292161761103,3492","348656696295,4414"
27000,"Chocó                                             ","211026838721,1173","338467583228,4861","295633486936,0705","360182483677,1693"
41000,"Huila                                             ","240731209720,6761","387908572227,089","370818938356,3543","483130450973,6096"
44000,"La Guajira                                        ","318765179388,7324","557864733371,665","515640732640,8008","652200082664,0093"
47000,"Magdalena                                         ","286313837645,739","415278157807,5204","362070751293,8877","439698189683,203"
50000,"Meta                                              ","411918343485,747","685606004855,6243","787434729094,1378","1369528173787,7317"
52000,"Nariño                                            ","306779328053,1747","482731446274,5275","426927413263,1087","513857752199,9102"
54000,"Norte De Santander                                ","224341140671,1354","354527960330,4139","313035230733,6247","371619037111,1665"
63000,"Quindío                                           ","71220619403,5788","118007932160,6759","96027990695,4668","117011859840,0737"
66000,"Risaralda                                         ","97409690379,2705","157405441612,253","136206607911,5343","165080736295,6869"
68000,"Santander                                         ","219996188807,6975","351079694145,1865","340944009670,3259","464130362036,0067"
70000,"Sucre                                             ","250624855273,0703","376685354365,6544","338149068524,8193","421900199230,4977"
73000,"Tolima                                            ","171627909447,5605","273423872472,2737","262025803556,2773","341778884574,8811"
76000,"Valle Del Cauca                                   ","227710797460,9845","360683163931,4893","317245848185,7166","378092788028,2531"
81000,"Arauca                                            ","138236641538,9964","223862899675,4932","222528836750,8564","340253328253,0875"
85000,"Casanare                                          ","289908423599,898","446208706275,0264","430410923746,8485","762296630517,685"
86000,"Putumayo                                          ","139525555002,7142","221577398528,6967","205652402475,1996","274558748579,6394"
88000,"Archipiélago de San Andrés                        ","64253688293,44","98883127338,129","83684432275,4607","100370457827,6235"
91000,"Amazonas                                          ","62928137405,6148","102308350750,3798","86772518261,6204","105001725312,2141"
94000,"Guainía                                           ","56144860203,729","89159129215,9411","74971151319,5957","91582935309,1683"
95000,"Guaviare                                          ","75527410199,93","121285993172,8642","103093764904,8219","120866032298,1899"
97000,"Vaupés                                            ","53992328806,1668","87035985597,2876","73814595671,4454","90195172770,177"
99000,"Vichada                                           ","80031513467,958","126478084206,9308","106783319887,9076","124999289069,4426"
